dataset,resource,column,field
battlefield,,ListEntry,reference
battlefield,,RegDate,start-date
battlefield,,AmendDate,entry-date
battlefield,,Hyperlink,documentation-url
battlefield,,WKT,geometry
building-preservation-notice,,ListEntry,reference
building-preservation-notice,,BPNStart,start-date
building-preservation-notice,,BPNExpire,end-date
building-preservation-notice,,AmendDate,entry-date
building-preservation-notice,,Hyperlink,documentation-url
building-preservation-notice,,WKT,point
certificate-of-immunity,,ListEntry,reference
certificate-of-immunity,,COIStart,start-date
certificate-of-immunity,,COIExpire,end-date
certificate-of-immunity,,AmendDate,entry-date
certificate-of-immunity,,Hyperlink,documentation-url
certificate-of-immunity,,WKT,point
heritage-at-risk,,Assessment,reference
heritage-at-risk,,ListEntry,reference
heritage-at-risk,,List_Entry,reference
heritage-at-risk,,ArticleA_1,heritage-asset-type
heritage-at-risk,,Assessme_2,heritage-risk-assessment-methodology
heritage-at-risk,,EntryName,name
heritage-at-risk,,URL,documentation-url
heritage-at-risk,,WKT,geometry
listed-building,,ListEntry,reference
listed-building,,ListDate,start-date
listed-building,,AmendDate,entry-date
listed-building,,Grade,listed-building-grade
listed-building,,Hyperlink,documentation-url
listed-building,,WKT,point
park-and-garden,,AmendDate,entry-date
park-and-garden,,ListEntry,reference
park-and-garden,,Grade,park-and-garden-grade
park-and-garden,,Hyperlink,documentation-url
park-and-garden,,Name,name
park-and-garden,,RegDate,start-date
park-and-garden,,WKT,geometry
protected-wreck-site,,AmendDate,entry-date
protected-wreck-site,,Hyperlink,documentation-url
protected-wreck-site,,SInumber,legislation
protected-wreck-site,,DesigDate,start-date
protected-wreck-site,,ListEntry,reference
protected-wreck-site,,WKT,geometry
scheduled-monument,,AmendDate,entry-date
scheduled-monument,,Hyperlink,documentation-url
scheduled-monument,,SchedDate,start-date
scheduled-monument,,ListEntry,reference
scheduled-monument,,WKT,geometry
world-heritage-site,,AmendDate,entry-date
world-heritage-site,,Hyperlink,documentation-url
world-heritage-site,,InscrDate,start-date
world-heritage-site,,ListEntry,reference
world-heritage-site,,Notes,notes
world-heritage-site,,WKT,geometry
