prefix,reference,entity
battlefield,1000000,1400000
battlefield,1000001,1400001
battlefield,1000002,1400002
battlefield,1000003,1400003
battlefield,1000004,1400004
battlefield,1000005,1400005
battlefield,1000006,1400006
battlefield,1000007,1400007
battlefield,1000008,1400008
battlefield,1000009,1400009
battlefield,1000010,1400010
battlefield,1000011,1400011
battlefield,1000012,1400012
battlefield,1000013,1400013
battlefield,1000014,1400014
battlefield,1000015,1400015
battlefield,1000016,1400016
battlefield,1000017,1400017
battlefield,1000018,1400018
battlefield,1000019,1400019
battlefield,1000020,1400020
battlefield,1000021,1400021
battlefield,1000022,1400022
battlefield,1000023,1400023
battlefield,1000024,1400024
battlefield,1000025,1400025
battlefield,1000026,1400026
battlefield,1000027,1400027
battlefield,1000028,1400028
battlefield,1000029,1400029
battlefield,1000030,1400030
battlefield,1000031,1400031
battlefield,1000032,1400032
battlefield,1000033,1400033
battlefield,1000034,1400034
battlefield,1000035,1400035
battlefield,1000036,1400036
battlefield,1000037,1400037
battlefield,1000038,1400038
battlefield,1000039,1400039
battlefield,1000040,1400040
battlefield,1000041,1400041
battlefield,1000042,1400042
battlefield,1412878,1400043
battlefield,1413619,1400044
battlefield,1413762,1400045
battlefield,1413782,1400046
building-preservation-notice,1475910,2000000
building-preservation-notice,1477368,2000001
building-preservation-notice,1477682,2000002
building-preservation-notice,1476442,2000003
certificate-of-immunity,1420581,2300000
certificate-of-immunity,1436836,2300001
certificate-of-immunity,1437110,2300002
certificate-of-immunity,1437275,2300003
certificate-of-immunity,1437831,2300004
certificate-of-immunity,1438793,2300005
certificate-of-immunity,1439057,2300006
certificate-of-immunity,1439062,2300007
certificate-of-immunity,1439371,2300008
certificate-of-immunity,1439550,2300009
certificate-of-immunity,1439962,2300010
certificate-of-immunity,1439963,2300011
certificate-of-immunity,1439964,2300012
certificate-of-immunity,1439965,2300013
certificate-of-immunity,1439966,2300014
certificate-of-immunity,1440069,2300015
certificate-of-immunity,1440070,2300016
certificate-of-immunity,1440073,2300017
certificate-of-immunity,1440075,2300018
certificate-of-immunity,1440077,2300019
certificate-of-immunity,1441294,2300020
certificate-of-immunity,1441859,2300021
certificate-of-immunity,1441905,2300022
certificate-of-immunity,1442356,2300023
certificate-of-immunity,1444842,2300024
certificate-of-immunity,1444929,2300025
certificate-of-immunity,1445146,2300026
certificate-of-immunity,1445241,2300027
certificate-of-immunity,1445939,2300028
certificate-of-immunity,1445940,2300029
certificate-of-immunity,1445943,2300030
certificate-of-immunity,1445944,2300031
certificate-of-immunity,1445947,2300032
certificate-of-immunity,1445950,2300033
certificate-of-immunity,1445998,2300034
certificate-of-immunity,1446346,2300035
certificate-of-immunity,1446842,2300036
certificate-of-immunity,1447920,2300037
certificate-of-immunity,1447978,2300038
certificate-of-immunity,1447980,2300039
certificate-of-immunity,1447981,2300040
certificate-of-immunity,1448135,2300041
certificate-of-immunity,1448156,2300042
certificate-of-immunity,1448208,2300043
certificate-of-immunity,1448394,2300044
certificate-of-immunity,1448515,2300045
certificate-of-immunity,1448823,2300046
certificate-of-immunity,1449431,2300047
certificate-of-immunity,1449729,2300048
certificate-of-immunity,1449979,2300049
certificate-of-immunity,1450162,2300050
certificate-of-immunity,1450302,2300051
certificate-of-immunity,1450339,2300052
certificate-of-immunity,1450363,2300053
certificate-of-immunity,1450508,2300054
