bytes,content-type,elapsed,endpoint,resource,status,entry-date,start-date,end-date
17177889,application/zip,1.862,0189b37b78ad0f184e0b3f3d416ff4a9ad9c42be8111beeb9cd74ce938146693,b892ee0eb89148fc140e3ea288c6fa175c4d6ecb936860e395bbcd33f35c1ba7,200,2021-05-27T18:21:17.447928,,
5499506,application/zip,0.872,542adb04d173e9e9881d3e7dcc7c17c935147021a7e04ff1d9b682e258c09837,d2de307baa7879a3cd2a7ef1f19911e4cc5b5be8937bf28124cd089cc2b1f816,200,2021-05-27T15:13:39.087060,,
6451645,application/zip,0.914,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,2a768be816ad5678e354dabc79f95e9a9547c0fe4db665754bb1d45a6e34cd71,200,2021-05-27T16:08:17.771938,,
953238,application/zip,0.32,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,63a21afc804d756a2dbefd3e1448a71bb9b67c07ece96809382c1b51fd593678,200,2021-05-27T13:44:07.747268,,
2402926,application/zip,0.845,f1a45cb214594524c8b347d2611b6f72885af713f57db01f52bd590024fecd4c,2867b2ad6b6c05ddb84a018ff1c1ca37fa2bee622c041b0aec19d8b32f63e7ff,200,2021-05-27T17:57:16.498931,,
17177889,application/zip,6.416,0189b37b78ad0f184e0b3f3d416ff4a9ad9c42be8111beeb9cd74ce938146693,b892ee0eb89148fc140e3ea288c6fa175c4d6ecb936860e395bbcd33f35c1ba7,200,2021-05-28T01:53:31.261279,,
5499506,application/zip,3.678,542adb04d173e9e9881d3e7dcc7c17c935147021a7e04ff1d9b682e258c09837,d2de307baa7879a3cd2a7ef1f19911e4cc5b5be8937bf28124cd089cc2b1f816,200,2021-05-28T01:53:31.261279,,
6451645,application/zip,4.933,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,2a768be816ad5678e354dabc79f95e9a9547c0fe4db665754bb1d45a6e34cd71,200,2021-05-28T01:53:31.261279,,
716517,application/zip,0.236,5d8442cb2900bedc8aea68455973563773d8d228e23f188b15d2a9a238c1dd58,0578a3d8043563f41a12aedfa3a14085ec3fcb98fe24cc8fd1e2bc84420f20ae,200,2021-05-28T12:20:27.441151,,
808397,application/zip,0.312,7b39eb2be8e7611b57d3984717e5121ae703795860065311436e8b7ef74155c9,0aa513cee040d7d0b34be322ad2466de5ad691a7fb690d5c715fb432e9290900,200,2021-05-28T10:21:55.703964,,
953238,application/zip,2.821,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,63a21afc804d756a2dbefd3e1448a71bb9b67c07ece96809382c1b51fd593678,200,2021-05-28T01:53:31.261279,,
723039,application/zip,0.253,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,144a1c70e0c63f3cf1eb55b368198a3ec4d3d036a6619f83303e615df5425d37,200,2021-05-28T12:49:59.627909,,
28992559,application/zip,3.077,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,ebf9e1df4e638a318b6d79335c27c896c77dfcf3c2592cdb75d419f3d50362f2,200,2021-05-28T13:08:14.075922,,
2402926,application/zip,3.43,f1a45cb214594524c8b347d2611b6f72885af713f57db01f52bd590024fecd4c,2867b2ad6b6c05ddb84a018ff1c1ca37fa2bee622c041b0aec19d8b32f63e7ff,200,2021-05-28T01:53:31.261279,,
17193211,application/zip,3.308,0189b37b78ad0f184e0b3f3d416ff4a9ad9c42be8111beeb9cd74ce938146693,744559005085faedcab9233979cdaea5706c010a5d38c0f5ae956e5f016adccb,200,2021-06-01T02:47:03.636735,,
5499506,application/zip,2.142,542adb04d173e9e9881d3e7dcc7c17c935147021a7e04ff1d9b682e258c09837,d2de307baa7879a3cd2a7ef1f19911e4cc5b5be8937bf28124cd089cc2b1f816,200,2021-06-01T02:47:03.636735,,
6451478,application/zip,2.421,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,127149a3a44f6495c6fad377347a02e403cc79ff12f108b9020f1942fc86def3,200,2021-06-01T02:47:03.636735,,
716689,application/zip,1.185,5d8442cb2900bedc8aea68455973563773d8d228e23f188b15d2a9a238c1dd58,a85c65e298c6515399dd46bd9d6a542614f96caf5b51bfbe915786a65677186f,200,2021-06-01T02:47:03.636735,,
808398,application/zip,1.178,7b39eb2be8e7611b57d3984717e5121ae703795860065311436e8b7ef74155c9,8036e43f202f22e3cedcc7eb41c6836fc205c5cb44a4c1256fa0464e3b613f82,200,2021-06-01T02:47:03.636735,,
953235,application/zip,1.317,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,381b6679845884ca6b768a9259e9177ca380542ac15ff6a71dfa51ef2870682a,200,2021-06-01T02:47:03.636735,,
722961,application/zip,1.004,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,4290c204205fdc0a092431b9f43adc210b50b396785676d4fdab848d1b747ee0,200,2021-06-01T02:47:03.636735,,
28994049,application/zip,3.47,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,d9a44a4c68c0014b510ae66fadadc79144903a35cabacd05aacd4cd7ab76eed3,200,2021-06-01T02:47:03.636735,,
