source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
2cc7b64fbb22a44f842a2745f97700d4,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,ogl3,government-organisation:PB1164,battlefield,2021-05-27T00:00:00Z,2021-05-27,
b7ceb37bf6496832a8d58db494153d0e,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,542adb04d173e9e9881d3e7dcc7c17c935147021a7e04ff1d9b682e258c09837,ogl3,government-organisation:PB1164,heritage-at-risk,2021-05-27T00:00:00Z,2021-05-27,
4aed0f53043452b2d5e216fbca281617,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,ogl3,government-organisation:PB1164,park-and-garden,2021-05-27T00:00:00Z,2021-05-27,
747f3a681d31520c8b2d99a68939391e,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,0189b37b78ad0f184e0b3f3d416ff4a9ad9c42be8111beeb9cd74ce938146693,ogl3,government-organisation:PB1164,scheduled-monument,2021-05-27T00:00:00Z,2021-05-27,
d31df4919d0503abaa3b706df9534ccb,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,f1a45cb214594524c8b347d2611b6f72885af713f57db01f52bd590024fecd4c,ogl3,government-organisation:PB1164,world-heritage-site;world-heritage-site-buffer-zone,2021-05-27T00:00:00Z,2021-05-27,
e7cbc5b2335dcc3c54e5144a43f2f3c2,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,7b39eb2be8e7611b57d3984717e5121ae703795860065311436e8b7ef74155c9,ogl3,government-organisation:PB1164,protected-wreck-site,2021-05-28T08:08:06Z,2021-05-28,
0641aba1f45d580835073f18b161de1a,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,5d8442cb2900bedc8aea68455973563773d8d228e23f188b15d2a9a238c1dd58,ogl3,government-organisation:PB1164,building-preservation-notice,2021-05-28T11:11:15Z,2021-05-28,
dceb2e478d09b391cf4f4510f6edc8a7,historic-england,historic-england,https://historicengland.org.uk/listing/the-list/data-downloads,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,ogl3,government-organisation:PB1164,certificate-of-immunity,2021-05-28T12:12:42Z,2021-05-28,
6fb2aeea71ce6cc077421a85545df113,crown-copyright,historic-england,,c78d4f8e4d6cf8f23acbd768ff8ea2fae0ea1265f15f40c24ca1ef55988caa10,ogl3,government-organisation:PB1164,park-and-garden-grade,2021-06-02T15:15:36Z,2021-06-02,
cd0f073f676deffdc22a1a0f117858cd,crown-copyright,historic-england,,40bf85af732913560f9925533d6289adad84ae96cef6002352eba01279b4946a,ogl3,government-organisation:D1342,world-heritage-site,2022-09-09T07:07:43:50Z,,
23465cd6d4bda01cb8a06a5b630a6968,crown-copyright,historic-england,,941425b204aa99e1c8a466034375a58a231705d2d5adb63c31844ee3a782fbe8,ogl3,government-organisation:D1342,battlefield,2022-09-12T06:06:45:30Z,,
