resource,bytes,organisations,endpoints,start-date,end-date
0578a3d8043563f41a12aedfa3a14085ec3fcb98fe24cc8fd1e2bc84420f20ae,716517,government-organisation:PB1164,5d8442cb2900bedc8aea68455973563773d8d228e23f188b15d2a9a238c1dd58,2021-05-28,2021-05-28
0aa513cee040d7d0b34be322ad2466de5ad691a7fb690d5c715fb432e9290900,808397,government-organisation:PB1164,7b39eb2be8e7611b57d3984717e5121ae703795860065311436e8b7ef74155c9,2021-05-28,2021-05-28
0ad1b811a6287d3ff6a3101fdf84b5766d020dfd4185251e40eb2057ed170659,29024520,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-10-01,
0fea2504ea518ddd1103378d49cdfd0a26d5e6ec4672fbf4334a81e2466aae57,808400,government-organisation:PB1164,7b39eb2be8e7611b57d3984717e5121ae703795860065311436e8b7ef74155c9,2021-08-13,2021-08-13
1129bb8cf4019ed8f03364b09707f8b883a9d84c65b86d6cf299b11d08c01fc7,722854,government-organisation:PB1164,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,2021-06-30,2021-07-01
127149a3a44f6495c6fad377347a02e403cc79ff12f108b9020f1942fc86def3,6451478,government-organisation:PB1164,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,2021-06-01,2021-06-10
144a1c70e0c63f3cf1eb55b368198a3ec4d3d036a6619f83303e615df5425d37,723039,government-organisation:PB1164,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,2021-05-28,2021-05-28
1694666a7c7c606facc6c48aa71f46304ce0ff3c209d284ccee874b3d9f65930,29008055,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-08-01,2021-08-01
2041577583696bd6088d9e1ec9cf52b5186072802a99ccd6f2449115efdc6636,722854,government-organisation:PB1164,bd0cf4596a530eed68c255dc95e7ee9fd7ba37612bb648b3bfd081b6a11cc8e2,2021-08-01,2021-08-01
20ac2865cea9733eaae1f608c0bcf7e55d19fcc859afda60f7b39a82dc2015af,953260,government-organisation:PB1164,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,2021-08-01,2021-08-01
2867b2ad6b6c05ddb84a018ff1c1ca37fa2bee622c041b0aec19d8b32f63e7ff,2402926,government-organisation:PB1164,f1a45cb214594524c8b347d2611b6f72885af713f57db01f52bd590024fecd4c,2021-05-27,2021-05-28
2a768be816ad5678e354dabc79f95e9a9547c0fe4db665754bb1d45a6e34cd71,6451645,government-organisation:PB1164,5bc822aa4e77ed15141f6b242403a53b088e2bd141d1dd1e5473546f39f0b9c7,2021-05-27,2021-05-28
3078e0545554a831e68657e94c03c4fe79ad57449a6b236cce8f2b41f516739a,953251,government-organisation:PB1164,a2765d5c18171372805f5b05c5ce0c727fe3855093972ce4596f29465990b8dc,2021-06-30,2021-07-01
3223128728dda9e5ba07ad898d573e6a2e2ca42827cabbcf882f0c1dffbe0e76,17193206,government-organisation:PB1164,0189b37b78ad0f184e0b3f3d416ff4a9ad9c42be8111beeb9cd74ce938146693,2021-06-30,2021-07-01
